filename,actual,predicted,percent_difference
RP62A_UntreatedCells1to10Dilution_09Oct2025-01_sample02.tiff,44.72947311,35.50141066,0.20630832
RP62A_ProtKCells1to10Dilution_02Oct2025_sample02.tiff,43.74573517,37.80591408,0.135780575
RP62A_pH10Cells1to10Dilution_30Sept2025_sample05.tiff,36.81385803,34.95588612,0.050469361
RP62A_ProtKCells1to10Dilution_28Oct2025-02_sample04.tiff,42.11664581,37.81450619,0.102148201
RP62A_pH10Cells1to10Dilution_02Dec2025_sample04.tiff,27.13201141,40.75001085,0.501916324
RP62A_DNaseICells1to10Dilution_09Oct2025-01_sample01.tiff,40.32629776,32.6010872,0.191567562
RP62A_pH10Cells1to10Dilution_02Dec2025-02_sample01.tiff,32.76187134,32.37225699,0.011892311
RP62A_pH10-02Cells1to10Dilution_09Oct2025-01_sample07.tiff,32.95690536,29.81464295,0.095344584
RP62A_UntreatedCells1to10Dilution_09Oct2025-01_sample06.tiff,34.91406631,35.74838006,0.023896207
RP62A_NaIO4Cells1to10Dilution_23Oct2025-04_sample08.tiff,10.78872967,13.76615879,0.275975876
RP62A_UntreatedCells1to10Dilution_09Oct2025-01_sample08.tiff,38.12772369,35.21433539,0.076411283
RP62A_ProtKCells1to10Dilution_09Oct2025-01_sample08.tiff,44.33849335,26.56485295,0.400862525
RP62A_pH10Cells1to10Dilution_09Dec2025-02_sample05.tiff,27.4835968,30.31441312,0.103000213
RP62A_DNaseICells1to10Dilution_02Dec2025_sample02.tiff,29.15070724,29.10720665,0.001492265
RP62A_NaIO4Cells1to10Dilution_07Oct2025_sample04.tiff,14.39923573,14.63662435,0.016486196
RP62A_pH10Cells1to10Dilution_23Oct2025-03_sample03.tiff,31.38384628,32.2214492,0.026688982
RP62A_DNaseICells1to10Dilution_08Oct2025_sample07.tiff,41.39289474,40.84176085,0.013314698
RP62A_ProtKCells1to10Dilution_09Dec2025-02_sample06.tiff,10.98509884,25.06716409,1.28192431
RP62A_ProtKCells1to10Dilution_02Dec2025_sample03.tiff,37.44851685,26.0505958,0.304362415
RP62A_pH10Cells1to10Dilution_30Sept2025_sample04.tiff,38.12138748,31.24346407,0.180421644
RP62A_DNaseI-02Cells1to10Dilution_23Oct2025_sample02.tiff,33.0575943,31.5284948,0.046255619
RP62A_DNaseI-02Cells1to10Dilution_23Oct2025-03_sample08.tiff,45.12003326,36.79145245,0.184587205
RP62A_pH10Cells1to10Dilution_02Dec2025_sample05.tiff,28.92853546,38.91536647,0.345224217
RP62A_UntreatedCells1to10Dilution_02Oct2025_sample06.tiff,43.28517151,41.18615161,0.048492817
RP62A_pH10-02Cells1to10Dilution_09Oct2025-01_sample02.tiff,37.14223099,29.31067958,0.210853016
